Timestamp	What were you doing?	Comments	
1/20/2021 14:05:48	Eyes Closed 5 mins	Started at 2PM	JC_DogFood_01202021
1/20/2021 14:09:34	Focused	watching video	JC_DogFood_01202021
1/20/2021 14:12:02	Focused	reading	JC_DogFood_01202021
1/20/2021 14:20:20	Moving around	focused but typing	JC_DogFood_01202021
1/20/2021 14:23:13	Moving around		JC_DogFood_01202021
1/20/2021 14:32:55	Drinking water/coffee	moving around and eating lunch from approx 2:25	JC_DogFood_01202021
1/20/2021 14:37:14	Moving around	finished lunch	JC_DogFood_01202021
1/20/2021 14:41:12	Drinking water/coffee	drinking soda on and off	JC_DogFood_01202021
1/20/2021 14:49:46	Focused	from 2:40PM watching video	JC_DogFood_01202021
1/20/2021 14:56:55	Focused		JC_DogFood_01202021
1/20/2021 14:59:38	Focused		JC_DogFood_01202021
1/20/2021 15:05:24	Eyes Closed 5 mins	started at 3PM	JC_DogFood_01202021
1/20/2021 15:06:07	Drinking water/coffee	fnished my sode	JC_DogFood_01202021
1/20/2021 15:09:57	Moving around	adjusted headset at 3:09	JC_DogFood_01202021
1/20/2021 15:10:25	Moving around	readjusted headset at 3:10	JC_DogFood_01202021
1/20/2021 15:13:43	Moving around	laptop rebooting	JC_DogFood_01202021
1/20/2021 15:17:55	Moving around	rebooted machine and started new file	JC_DogFood_01202021
1/20/2021 15:29:22	Talking	1:1 with marcus	JC_DogFood_01202021
1/20/2021 15:42:54	Talking		JC_DogFood_01202021
1/20/2021 15:54:48	Talking		JC_DogFood_01202021
1/20/2021 16:13:01	Talking	still on 1:1	JC_DogFood_01202021
1/20/2021 16:31:46	Talking	in meeting	JC_DogFood_01202021
1/20/2021 16:45:18	Moving around	wrapped up meeting	JC_DogFood_01202021
1/20/2021 16:51:13	Eyes Closed 5 mins		JC_DogFood_01202021
1/20/2021 16:51:33	Moving around	Removing headset - ending experiment	JC_DogFood_01202021
1/21/2021 11:52:47	Focused		RA_DogFood_01212021
1/21/2021 11:53:17	Typing		RA_DogFood_01212021
1/21/2021 11:53:47	Talking		RA_DogFood_01212021
1/21/2021 11:56:44	Talking	Stopped talking	RA_DogFood_01212021
1/21/2021 11:57:00	Typing	using computer	RA_DogFood_01212021
1/21/2021 12:05:09	Talking		RA_DogFood_01212021
1/21/2021 12:15:09	Talking	End talking	RA_DogFood_01212021
1/21/2021 12:15:16	Drinking water/coffee/eating		RA_DogFood_01212021
1/21/2021 12:15:47	Talking		RA_DogFood_01212021
1/21/2021 12:16:37	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 12:16:47	Talking		RA_DogFood_01212021
1/21/2021 12:17:33	Drinking water/coffee/eating		RA_DogFood_01212021
1/21/2021 12:17:39	Talking		RA_DogFood_01212021
1/21/2021 12:42:45	Talking	Done talking with Arjun. Big smile at 12:41	RA_DogFood_01212021
1/21/2021 12:43:07	Drinking water/coffee/eating		RA_DogFood_01212021
1/21/2021 12:43:50	Walking	finished walking	RA_DogFood_01212021
1/21/2021 12:44:02	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 12:46:15	Walking		RA_DogFood_01212021
1/21/2021 12:50:19	Eyes Closed 5 mins		RA_DogFood_01212021
1/21/2021 12:55:37	Eyes Closed 5 mins	End of eye closed	RA_DogFood_01212021
1/21/2021 13:15:57	Talking		RA_DogFood_01212021
1/21/2021 13:16:04	Walking		RA_DogFood_01212021
1/21/2021 13:18:48	Eyes Closed 5 mins		RA_DogFood_01212021
1/21/2021 13:24:06	Talking		RA_DogFood_01212021
1/21/2021 13:24:54	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 13:26:46	Talking		RA_DogFood_01212021
1/21/2021 13:32:11	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 13:32:18	Walking		RA_DogFood_01212021
1/21/2021 13:42:00	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 13:43:08	Walking		RA_DogFood_01212021
1/21/2021 13:44:37	Focused		RA_DogFood_01212021
1/21/2021 13:45:15	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 13:45:19	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 13:47:08	Moving around		RA_DogFood_01212021
1/21/2021 13:47:17	Not focused/Distracted		RA_DogFood_01212021
1/21/2021 13:49:01	Focused		RA_DogFood_01212021
1/21/2021 14:01:34	Focused	Not sure if I hit focused but at least ten minutes of straight work just happened 	RA_DogFood_01212021
1/22/2021 11:22:57	Walking		RA_DogFood_01212022
1/22/2021 11:26:21	Eyes Closed 5 mins		RA_DogFood_01212022
1/22/2021 11:31:37	Drinking water/coffee/eating		RA_DogFood_01212022
1/22/2021 11:31:49	Moving around		RA_DogFood_01212022
1/22/2021 11:35:25	Focused		RA_DogFood_01212022
1/22/2021 11:36:40	Not focused/Distracted		RA_DogFood_01212022
1/22/2021 11:37:20	Focused		RA_DogFood_01212022
1/22/2021 11:48:26	Not focused/Distracted		RA_DogFood_01212022
1/22/2021 11:48:32	Drinking water/coffee/eating		RA_DogFood_01212022
1/22/2021 11:48:52	Drinking water/coffee/eating		RA_DogFood_01212022
1/22/2021 11:49:35	Focused		RA_DogFood_01212022
1/22/2021 12:07:30	Not focused/Distracted		RA_DogFood_01212022
1/22/2021 12:07:36	Walking		RA_DogFood_01212022
1/22/2021 12:10:15	Drinking water/coffee/eating		RA_DogFood_01212022
1/22/2021 12:10:55	Focused		RA_DogFood_01212022
1/22/2021 12:13:57	Not focused/Distracted		RA_DogFood_01212022
1/22/2021 12:14:05	Walking		RA_DogFood_01212022
1/22/2021 12:24:57	Not focused/Distracted		RA_DogFood_01212022
1/22/2021 12:25:20	Moving around		RA_DogFood_01212022
1/22/2021 12:26:19	Not focused/Distracted		RA_DogFood_01212022
1/22/2021 12:29:22	Talking		RA_DogFood_01212022
1/22/2021 12:42:57	Talking	done with call 	RA_DogFood_01212022
