,y_
0,-2.3106029218667046
1,-2.3513272943475187
2,-2.298564316583635
3,-2.3518648572594882
4,-2.328709508142386
5,-2.22283419542147
6,-2.2022406980750575
7,-2.3516584623334986
8,-2.2817051283120953
9,-2.268275417509918
10,-2.2146254081850785
11,-2.3357807393973355
12,-2.355703989895961
13,-2.2878135756632636
14,-2.2763917205904796
15,-2.3802155816807558
16,-2.3674555891602638
17,-2.2936841277679534
18,-2.3100277251264667
19,-2.3158346900944977
20,-2.305440444719427
21,-2.308419828363336
22,-2.294095142174973
23,-2.218434735410037
24,-2.136366597618954
25,-2.2339508692109655
26,-2.2337789826288623
27,-2.270180042522432
28,-2.08608326591953
29,-2.168762527106264
30,-2.1387500496306453
31,-2.2436194374897265
32,-1.990124342669768
33,-2.2991340537456972
34,-2.31789072806928
35,-2.2951264781652876
36,-2.265224680181273
37,-2.251249891895235
38,-2.1072629878438063
39,-2.0693828265932837
40,-2.283611789972683
41,-2.276802923577993
42,-2.2421862551334355
43,-2.2407580354412326
44,-2.1836488962642537
45,-2.2972659302436242
46,-2.29445167868922
47,-2.2508574332629134
48,-2.324930480034494
49,-2.1964780442541305
50,-2.2621822777477747
51,-2.353798059821025
52,-2.380867790293397
53,-2.336547646676435
54,-2.2640455464027505
55,-2.2717348767849774
56,-2.307342765695249
57,-2.268480161898906
58,-2.199784637234329
59,-2.2828676896910105
60,-2.2825161510565097
61,-2.228113848596283
62,-2.3346528133785283
63,-2.3821971430911586
64,-2.3169231367117162
65,-2.3000564889359465
66,-2.3260511559641226
67,-2.3118092862734394
68,-2.2806274357796985
69,-2.2809455403807237
70,-2.277033109306549
71,-2.3169125818619447
72,-2.2804851230495244
73,-2.287167204097451
74,-2.355313037850523
75,-2.3221614547028993
76,-2.2686058929413027
77,-2.3418409872613717
78,-2.3119596808176768
79,-2.2850802536922834
80,-2.242432548545953
81,-2.2105040038369124
82,-2.3065009260042775
83,-2.2386918316338855
84,-2.2217185552939194
85,-2.2142373740295067
86,-2.291061448745245
87,-2.3451739823500004
88,-2.3301218153338534
89,-2.2243074030934644
90,-2.261660519871379
91,-2.286114574595961
92,-2.230943261460063
93,-2.35011930857935
94,-2.298555772352022
95,-2.3477521807128574
96,-2.335484500867815
97,-2.352058740696122
98,-2.333464688155848
99,-2.277169858470971
100,-2.406601806594569
101,-2.396790988884542
102,-2.404195721388707
103,-2.388842402032054
104,-2.26053080489785
105,-2.3247446068787068
106,-2.24440693052966
107,-2.2855074405066573
108,-2.352435704421369
109,-2.404454186569869
110,-2.2277164489944217
111,-2.2294817462663725
112,-2.2230076058792743
113,-2.2742296234090222
114,-2.141077872709323
115,-2.1537634826169185
116,-2.2347892621448047
117,-2.23952037308774
118,-2.247873893586402
119,-2.203776798222891
120,-2.2115614346609496
121,-2.2178918679618413
122,-2.221032474374934
123,-2.3935773942739225
124,-2.2567565314244873
125,-2.2937330854324274
126,-2.1586834172110536
127,-2.1949719662816056
128,-2.1968399769440343
129,-2.2957663228985217
130,-2.203065069514687
131,-2.249497052530005
132,-2.2743618334746705
133,-2.2768122055570474
134,-2.2710218451069557
135,-2.209515886023464
136,-2.25053816685109
137,-2.2268761882372283
138,-2.1918170626114732
139,-2.2825503771256046
140,-2.336742882696059
141,-2.2745605309687162
142,-2.234998312605273
143,-2.2538525460005636
144,-2.2663531998800224
145,-2.1768523698086195
146,-2.281555038027188
147,-2.361406666915104
148,-2.23279838306133
149,-2.248491097659425
150,-2.258922103168101
151,-2.1805818084865125
152,-2.215030622994812
153,-2.260609736998302
154,-2.2199067251015814
155,-2.248573652576861
156,-2.2120220758574205
157,-2.2004810341653678
158,-2.211794897038801
159,-2.182724914873865
160,-2.2010139207171626
161,-2.200243575301751
162,-2.252587026211785
163,-2.2562975547411583
164,-2.2266796735127756
165,-2.2207766436398484
166,-2.174267782529617
167,-2.212849574115269
168,-2.185010018164009
169,-2.192527430171477
170,-2.180280703062661
171,-2.240858754428306
172,-2.2844218588749783
173,-2.247894850017161
174,-2.3111180265727906
175,-2.240160156827677
176,-2.3217714808846632
177,-2.250103557157644
178,-2.314463456097668
179,-2.335222769723887
180,-2.296925538199742
181,-2.242086460788066
182,-2.3493013587017955
183,-2.2993632093497354
184,-2.2699969979663313
185,-2.2238231999253033
186,-2.2718937363762497
187,-2.2474372442634527
188,-2.1883800463137715
189,-2.2069446935448243
190,-2.305069701570128
191,-2.2529853825080277
192,-2.2572527528887503
193,-2.256464567074271
194,-2.3110233066271215
195,-2.323999153103624
196,-2.273030159087213
197,-2.2499851683185463
198,-2.2480481588854286
199,-2.143543174737583
200,-2.1823516694197904
201,-2.2346660947213794
202,-2.319198071040272
203,-2.172759632492292
204,-2.3066030986772974
205,-2.244283165561505
206,-2.393238398195691
207,-2.39308352500774
208,-2.3947583888576425
209,-2.455552598424885
210,-2.361344704186847
211,-2.2629531412879333
212,-2.2996331061985855
213,-2.42702650444532
214,-2.4060830882133732
215,-2.3691381360197745
216,-2.374223230686615
217,-2.250838890463323
218,-2.3511127822642357
219,-2.2416292926842285
220,-2.190414378808973
221,-2.209977241218493
222,-2.268853110938025
223,-2.2353677562057968
224,-2.2414141028833883
225,-2.2154559774699476
226,-2.1723272820414996
227,-2.1778508250360984
228,-2.194985840525145
229,-2.2324667092616424
230,-2.2810917404688453
231,-2.40426671572229
232,-2.2701140265293898
233,-2.2170797288007216
234,-2.1692838303917155
235,-2.205206034256654
236,-2.2108097085030387
237,-2.2092808684251715
238,-2.221731856347814
239,-2.347091282637152
240,-2.2637519944391524
241,-2.3862313810824753
242,-2.4019693681626246
243,-2.385112985585934
244,-2.419300352120519
245,-2.3145032358960034
246,-2.275298324680589
247,-2.2538696786599655
248,-2.3051455353981067
249,-2.269435352751459
250,-2.295504271693126
251,-2.3622964909477786
252,-2.153494669309833
253,-2.2752395290074126
254,-2.249910744615
255,-2.1837515687938365
256,-2.2167688715013476
257,-2.1941129715340035
258,-2.2555696717470095
259,-2.1856662115653682
260,-2.2033416707325957
261,-2.237242554075312
262,-2.1098988563373426
263,-2.240569138329681
264,-2.2262692151546655
265,-2.2322290157136635
266,-2.303909774975304
267,-2.3262041184055486
268,-2.341061632172019
269,-2.2332391420564983
270,-2.0663317042394818
271,-2.1084974823978353
272,-2.4371131073478054
273,-2.357193224974615
274,-2.287459678875903
275,-2.2266297384371208
276,-2.3223533547670367
277,-2.4211385325138743
278,-2.4080332127133417
279,-2.2912631964440573
280,-2.2951337376424017
281,-2.3587106816139745
282,-2.3276791287547667
283,-2.3055710783422696
284,-2.3733309344749633
285,-2.394534841629093
286,-2.3506068990427047
287,-2.3727163599531793
288,-2.3922770239041506
289,-2.4038627121191904
290,-2.385383419047086
291,-2.3102254903490107
292,-2.3344225858268324
293,-2.3816995407273907
294,-2.3422782893228815
295,-2.3441812214954663
296,-2.270244837536104
297,-2.397028480045119
298,-2.372249754439022
299,-2.2737930568509013
300,-2.341087733985338
301,-2.2897810470172217
302,-2.3350210197856542
303,-2.3036965691501985
304,-2.3711278041179513
305,-2.32619652132724
306,-2.3034609567379483
307,-2.4144394010065584
308,-2.2192656133957507
309,-2.2378174876653474
310,-2.236307379898935
311,-2.3039477245952926
312,-2.2678437636703097
313,-2.345358538258936
314,-2.3237694206244157
315,-2.2846301720853375
316,-2.3301421271635405
317,-2.2944502889221923
318,-2.351085602164251
319,-2.380698864502644
320,-2.2425829498633623
321,-2.2848771573053996
322,-2.152440572757944
323,-2.2883741008617884
324,-2.3964825431487453
325,-2.3708368253486007
326,-2.2354306011428524
327,-2.3450145663310256
328,-2.301083312241705
329,-2.397054956055202
330,-2.304665671900266
331,-2.2874312756689563
332,-2.3265825882563376
333,-2.363247625605265
334,-2.3361205520696666
335,-2.3800487812890774
336,-2.3948578942675827
337,-2.3952695093659906
338,-2.3303301852997325
339,-2.3599442359848934
340,-2.3725414812836094
341,-2.341648901709178
342,-2.3144776452207987
343,-2.3287339072495854
344,-2.2903329028118438
345,-2.3841286196584632
346,-2.3936986724013734
347,-2.3482509811143126
348,-2.3483788044123406
349,-2.369989406519845
350,-2.3866277087905154
351,-2.398188419665078
352,-2.3652824673804433
353,-2.395850444199403
354,-2.3450977286148493
355,-2.29158303100081
356,-2.371789136821311
357,-2.3732416162043357
358,-2.344763075860346
359,-2.376001614225471
360,-2.335886093041594
361,-2.341245874221589
362,-2.346597903156386
363,-2.3950749281335098
364,-2.39554314982626
365,-2.3707848270230585
366,-2.3976018123701577
367,-2.2818453658092324
368,-2.3052721495845705
369,-2.348551736067802
370,-2.2200015245537994
371,-2.2861121166030864
372,-2.2991786880358394
373,-2.3022523780701145
374,-2.3851325619999395
375,-2.3665252736967184
376,-2.3454960267962828
377,-2.3947889898606114
378,-2.360618506911151
379,-2.3918256564458655
380,-2.3545552469494218
381,-2.372998772185496
382,-2.3710796438437134
383,-2.2941490259701123
384,-2.2831611154055302
385,-2.3787140570152876
386,-2.259335909932873
387,-2.2214386438500626
388,-2.389864202316488
389,-2.3633841885208255
390,-2.360158879514514
391,-2.376874544338833
392,-2.3487531942874718
393,-2.2826015817087884
394,-2.282106975508348
395,-2.2745136744261245
396,-2.3561365925856146
397,-2.3447156263796876
398,-2.348407291516521
399,-2.362173405937769
400,-2.373463130650086
401,-2.2334259988683063
402,-2.4013892399670005
403,-2.3802232581550347
404,-2.412165065092863
405,-2.4005628959968646
406,-2.342678698188501
407,-2.396334155972459
408,-2.382427174451644
409,-2.3951655402369925
410,-2.3480797371715036
411,-2.2982551952011767
412,-2.382591521002164
413,-2.3316172873329846
414,-2.3379342885286394
415,-2.353503809791966
416,-2.3815819846927155
417,-2.347684796069013
418,-2.348510620554461
419,-2.396006404703935
420,-2.3722057182146097
421,-2.380811789878785
422,-2.3391629383240566
