,y_
0,-2.256844185018952
1,-2.153548304785707
2,-2.2269478294266465
3,-2.267425499602473
4,-2.298969234451825
5,-2.3283148877957927
6,-2.304460478406851
7,-2.1973660942065725
8,-2.1452418506299136
9,-2.2112239105661216
10,-2.2407271965655706
11,-2.1992643577244646
12,-2.154780084895372
13,-2.2752882793193874
14,-2.28312489204478
15,-2.305720941617512
16,-2.3277913919219344
17,-2.3442631536936496
18,-2.3318829031415205
19,-2.2817689916116004
20,-2.2946225131108124
21,-2.316044078553621
22,-2.3000756740112145
23,-2.3086494670593316
24,-2.3076856696524297
25,-2.3299741721423244
26,-2.281291636328736
27,-2.2886128038327236
28,-2.2844977788224483
29,-2.248194896008858
30,-2.252183724817268
31,-2.268221062552502
32,-2.2917218278269145
33,-2.3399186848926274
34,-2.270294958730377
35,-2.285075120308476
36,-2.295962918733779
37,-2.2990907418214324
38,-2.2735095680545667
39,-2.314592396481627
40,-2.280805141811495
41,-2.294379954742714
42,-2.306153021580736
43,-2.3014577967128638
44,-2.3042508277422873
45,-2.2821336017737464
46,-2.285071734206962
47,-2.244001714291361
48,-2.298835170406991
49,-2.290914621689422
50,-2.2505329411639776
51,-2.2636400351750834
52,-2.272106631728618
53,-2.2708202216977287
54,-2.286273755893469
55,-2.257049814245407
56,-2.2668222006602177
57,-2.278060362229987
58,-2.25659124297287
59,-2.2674168341091776
60,-2.307179639877211
61,-2.2659302860288557
62,-2.264896193773003
63,-2.251628990995437
64,-2.2889988493295976
65,-2.2123176922649113
66,-2.1499642352449646
67,-2.2110564268514636
68,-2.094834932087761
69,-2.156558622647165
70,-2.244767940965848
71,-2.126336358992069
72,-2.140638174539265
73,-2.1972692978353794
74,-2.2527350642643764
75,-2.2783853684204343
76,-2.286661407305447
77,-2.2859361170662766
78,-2.281595431541478
79,-2.279051002387174
80,-2.2552357133286756
81,-2.263144655048481
82,-2.2781731618731875
83,-2.278628931607192
84,-2.2629964477382667
85,-2.2466189068213236
86,-2.2849926709191966
87,-2.2707860849926536
88,-2.275112755701143
89,-2.250757815707187
90,-2.296783157082281
91,-2.2889155623480737
92,-2.265109348672799
93,-2.247603371260249
94,-2.339468963449413
95,-2.271491343282895
96,-2.2696304332092705
97,-2.2864900813209497
98,-2.2944672897348113
99,-2.2933528373106142
100,-2.24673392648488
101,-2.300150330112512
102,-2.2698444806843696
103,-2.247514190781332
104,-2.25114193093276
105,-2.272692115007439
106,-2.3201610579882894
107,-2.218880469104579
108,-2.244704468150661
109,-2.2671180064207324
110,-2.295439186104688
111,-2.259037871537277
112,-2.2730370699700346
113,-2.288934847141606
114,-2.2687426130282273
115,-2.3104864807077594
116,-2.248350551827115
117,-2.2718904636709425
118,-2.2889937030691256
119,-2.291233051894824
120,-2.278162306855576
121,-2.2969572921875447
122,-2.2896568376567084
123,-2.2876969176749395
124,-2.2710235058846906
125,-2.27870215589222
126,-2.2500431268380914
127,-2.241538031383162
128,-2.2782486480557878
129,-2.2763305467868142
130,-2.2838332929714413
131,-2.3050831203826867
132,-2.27949349576377
133,-2.295095490908367
134,-2.3025013889245276
135,-2.2810323914702026
136,-2.278597814921541
137,-2.2784406889113615
138,-2.296528561409947
139,-2.2729726166701796
140,-2.3136081517584923
141,-2.2832356191892993
142,-2.3175746214979203
143,-2.2800880877989327
144,-2.3192667601399592
145,-2.2774307816261614
146,-2.2853113338253603
147,-2.2840615439545813
148,-2.2780414960615496
149,-2.307067907781054
150,-2.250321240824995
151,-2.274762178856676
152,-2.282317359170837
153,-2.2854343376731308
154,-2.2833208037365136
155,-2.2981421784949383
156,-2.2929710347245207
157,-2.267974501432744
158,-2.266567040576958
159,-2.2601727933248688
160,-2.2777079304784276
161,-2.288478778585998
162,-2.2649587231170822
163,-2.278816286407983
164,-2.2978193245425538
165,-2.2909613081848517
166,-2.2554932758416526
167,-2.308088169313372
168,-2.2555535018544663
169,-2.282699985296335
170,-2.2800614412539058
171,-2.266594564341957
172,-2.2724976257086618
173,-2.298126239876963
174,-2.3241904873303114
175,-2.3133707122820666
176,-2.2956271797946237
177,-2.276978458801621
178,-2.296866592156217
179,-2.3064133872276216
180,-2.2793642955999482
181,-2.295062579591822
182,-2.2524637878597464
183,-2.266270497097287
184,-2.2667597284281933
185,-2.330899757831489
186,-2.2933104420663897
187,-2.2663488246585404
188,-2.227611251290961
189,-2.229343009267182
190,-2.2596378348077937
191,-2.2704368071878265
192,-2.284181336734955
193,-2.2829920487305664
194,-2.287875044401435
195,-2.3091963854676094
196,-2.2664271839969317
197,-2.285271447341819
198,-2.266576375396204
199,-2.2544255255825996
200,-2.278259453001935
201,-2.2826779606197594
202,-2.2621914922225628
203,-2.2814282422771353
204,-2.244133968188302
205,-2.2648211780491927
206,-2.283638886885898
207,-2.248511028904661
208,-2.262163933356574
209,-2.2755663329008513
210,-2.290235081283517
211,-2.2504518385007026
212,-2.2706467223618283
213,-2.2736585833801155
214,-2.267676118680012
215,-2.2699514822088616
216,-2.2558457584417475
217,-2.2524587838565413
218,-2.269235244826863
219,-2.3013528318063674
220,-2.2393325611650923
221,-2.254748964935094
222,-2.258653912966606
223,-2.238565379497138
224,-2.258300594237269
225,-2.254111696050111
226,-2.2434710077727016
227,-2.278864926229291
228,-2.2541498699799236
229,-2.260363840038682
230,-2.269777920174677
231,-2.2699860832355783
232,-2.304692752812515
233,-2.275412070092023
234,-2.2735156349114174
235,-2.245114620402906
236,-2.28341260790805
237,-2.273591497705704
238,-2.3011740087317385
239,-2.2528158300254524
240,-2.2777764796827995
241,-2.2821252309093176
242,-2.2681766469940947
243,-2.2984444356758584
244,-2.2679440145825227
245,-2.273118769559857
246,-2.2469311152275866
247,-2.281485972045092
248,-2.2703144439641405
249,-2.287842964756524
250,-2.246916247251068
251,-2.2693955064421294
252,-2.263165471538388
253,-2.276346893061607
254,-2.236130232429788
255,-2.254492585882739
256,-2.2457881680500678
257,-2.2599750014088222
258,-2.2466660559047607
259,-2.2708505430098977
260,-2.280007991087853
261,-2.266496841446858
262,-2.2680182659515964
263,-2.271989460788932
264,-2.288515340542858
265,-2.2348514833418585
266,-2.25356818143213
267,-2.2427408103811937
268,-2.2364195551279598
269,-2.2485059708579023
270,-2.2381763999475077
271,-2.248147761646208
272,-2.2384184916104157
273,-2.2785090296882187
274,-2.3568404579901037
275,-2.2931099408030176
276,-2.3227598078100096
277,-2.2579586426069937
278,-2.2674838333706844
279,-2.28032507435713
280,-2.2597217032562202
281,-2.2323742619542895
282,-2.2748824788301554
283,-2.2885366193667824
284,-2.2724400782508436
285,-2.2459385421820155
286,-2.282906413249642
287,-2.270258777955307
288,-2.2680506766775617
289,-2.2352109830044826
290,-2.2539485637015884
291,-2.2562483500788724
292,-2.271434431326683
293,-2.264572121933639
294,-2.2862568590721963
295,-2.30448243264613
296,-2.3082865904933376
297,-2.3280012722286365
298,-2.2519486134798985
299,-2.257218133950887
300,-2.2784095171921015
301,-2.2835847166458856
302,-2.255966727375803
303,-2.2948696379662845
304,-2.2867507303828476
305,-2.2884791820792163
306,-2.2734323866834893
307,-2.244821927466142
308,-2.256736995909621
309,-2.2391823377030144
310,-2.2781317102611993
311,-2.2526384613325607
312,-2.2768280949765045
313,-2.270527208499226
314,-2.2555351314630463
315,-2.286147180934723
316,-2.280946275117056
317,-2.23700807594647
318,-2.2487912659156417
319,-2.278910770431819
320,-2.302898580968198
321,-2.2959656871724676
322,-2.3279057834899226
323,-2.281373863909237
324,-2.2643028398112244
325,-2.2977796279013187
326,-2.2798532113828034
327,-2.2890594837647837
328,-2.2844000796815815
329,-2.276664397342269
330,-2.313495485283685
331,-2.2322903588787217
332,-2.2712413242932796
333,-2.2788296234834986
334,-2.268134241124137
335,-2.279552093222696
336,-2.2759072101185147
337,-2.29626194913254
338,-2.233019037004503
339,-2.2664607497669973
340,-2.29385806647163
341,-2.2953927140395076
342,-2.2742972802873562
343,-2.286090702294375
344,-2.2337501809518394
345,-2.284964986419785
346,-2.2428118340352166
347,-2.2524046030530283
348,-2.248848874221351
349,-2.2715395219767722
350,-2.2863700142442838
351,-2.284123050610605
352,-2.2738345152443733
353,-2.2796782993659193
354,-2.2921522739032114
355,-2.2771354121505416
356,-2.2795983913063265
357,-2.260916661384763
358,-2.311417079554286
359,-2.2988362390243986
360,-2.2781658363140016
361,-2.2905710312182626
362,-2.262371416407972
363,-2.2735672979876473
364,-2.2897125826510125
365,-2.274505722004505
366,-2.297422451345343
367,-2.282160633592105
368,-2.268631346465474
369,-2.2767985838687053
370,-2.2852053968907713
371,-2.3089734523192718
372,-2.2923466256191234
373,-2.2841843725710964
374,-2.273431291590716
375,-2.2388404580577994
376,-2.2834128073524855
377,-2.289686143601431
378,-2.271500245542464
379,-2.2679079719544735
380,-2.298415295091603
381,-2.2641412923821678
382,-2.2752456662140483
383,-2.2775471305545554
384,-2.2820796517450734
385,-2.291270445019473
386,-2.3090139262415814
387,-2.281723875916472
388,-2.3065349475768997
389,-2.279127725420407
390,-2.2593406696215705
391,-2.279968833125037
392,-2.2897361005605377
393,-2.288810829345054
394,-2.297278249093751
395,-2.272485823181183
396,-2.2715941624441203
397,-2.2946845773327618
398,-2.2954022626728077
399,-2.2717474023768824
400,-2.277784350976787
401,-2.3030442764665637
402,-2.3164625985765412
403,-2.2809958930104273
404,-2.2742021006749553
405,-2.320795034010384
406,-2.282991367547069
407,-2.3771662091134123
408,-2.2662990401569925
409,-2.290620133922929
410,-2.267544305412853
411,-2.2911151032677313
412,-2.2950714889639685
413,-2.2875420514199334
